house_type,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status,numBedroom,house_layout,house_size_in_sqft,price_approx_usd
Villa ,Geetanjali Enclave,Delhi,28.53087997,77.20243073,308212,INR,4.0,2.0,Not Negotiable,0.57,Posted a year ago,"A 5 bhk property is available for rent in Geetanjali Enclave, Delhi. It has a built-up area of 6254 sqft and is available for rent at Rs. 3.08 lac per month . It is an unfurnished property. Its main door is facing east direction. It has 4 bathrooms and 2 balconies. It is made in way to provide a comfortable living. It is well connected to the city areas. Contact us for more details. "," 12,55,411",Unfurnished,5,BHK,6254.0,3593.89
Apartment ,Lajpat Nagar II,Delhi,28.57011414,77.24544525,45000,INR,3.0,2.0,Not Negotiable,0.26,Posted a year ago,"Itâs a 3 bhk multistorey apartment situated in 7, Lajpat Nagar II, Delhi. It has a built-up area of 2000 sqft and is available for rent at Rs. 45,000 per month . The house is semi-furnished. It is on 1st floor. The building has a total of 4 floor(s). It is south facing property. It has 3 bathrooms and 2 balconies. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Please contact us for more details. "," 45,000",Semi-Furnished,3,BHK,2000.0,524.72
Apartment ,Malviya Nagar,Delhi,28.53744888,77.21738434,40000,INR,2.0,2.0,Negotiable,0.47,Posted a year ago,"A 2 bhk property is available for rental in RWA Malviya Block B1, Malviya Nagar, Delhi. It has area of 1000 sqft and is available at a rent of Rs. 40,000. The house is furnished. Furnishings include 1 refrigerator, 1 sofa, 1 washing machine, 1 wifi, 1 microwave, 1 dining table, 1 gas connection, 1 modular kitchen, 2 wardrobe, 2 bed, 3 ac and 1 tv. It is on the 2nd floor of the building (total number of floors are 4). It is made in way to provide a comfortable living for the residents. The society is well connected by different modes of transportation. Contact us for more details. "," 40,000",Furnished,2,BHK,1000.0,466.42
Apartment ,Green Park,Delhi,28.55761909,77.20458984,90000,INR,3.0,2.0,Negotiable,0.42,Posted a year ago,It is a semi-furnished property. It is on 1st floor. The building has a total of 4 floor(s). Its main door is facing north direction. It is made in way to provide a comfortable living. It is well connected to the city areas. ," 90,000",Semi-Furnished,3,BHK,2500.0,1049.44
Apartment ,Saket,Delhi,28.52459908,77.20823669,95000,INR,4.0,3.0,Negotiable,0.35,Posted a year ago,"Itâs a 4 bhk multistorey apartment situated in Saket RWA, Saket, Delhi. It has area of 3200 sqft and is available at a rent of Rs. 95,000. It is a semi-furnished property. It has 4 wardrobe, 1 microwave, 1 gas connection and 1 modular kitchen. Its main door is facing north direction. It has 4 bathrooms and 3 balconies. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Kindly call us for details. "," 95,000",Semi-Furnished,4,BHK,3200.0,1107.74
Apartment ,Connaught Place,Delhi,28.59799194,77.23619843,250000,INR,1.0,1.0,Negotiable,1.94,Posted a year ago,"It has a built-up area of 1500 sqft and is available for rent at Rs. 2.50 lac per month (negotiable). The house is furnished. Furnishings include 1 wardrobe, 2 tv, 1 refrigerator, 1 sofa, 1 washing machine, 1 wifi, 1 microwave, 1 dining table, 1 gas connection, 2 ac, 1 bed and 1 modular kitchen. Itâs on 1st floor out of 3 floors building. It is north facing property. The property has 1 bathroom and 1 balcony. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Kindly call us for details. "," 2,50,000",Furnished,1,BHK,1500.0,2915.11
Independent Floor ,Uttam Nagar west,Delhi,28.62127113,77.06132507,9800,INR,1.0,1.0,Not Negotiable,0.18,Posted 17 days ago,Independent flat available for rent in om vihar Uttam Nagar newly constructed near to metro no interference of land lord with bike parking ready to move in in in in," 9,800",Semi-Furnished,2,BHK,650.0,114.27
Independent Floor ,Uttam Nagar west,Delhi,28.62127113,77.06132507,9700,INR,1.0,1.0,Not Negotiable,0.17,Posted 17 days ago,"It has a built-up area of 680 sqft and is available for rent at Rs. 9,700 per month . The house is semi-furnished. It is north facing property. It has 1 bathroom and 1 balcony. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. "," 9,700",Semi-Furnished,2,BHK,680.0,113.11
Independent Floor ,Uttam Nagar west,Delhi,28.62127113,77.06132507,9800,INR,2.0,2.0,Not Negotiable,0.17,Posted 17 days ago,"A spacious 2 bhk builder floor is available for rental in Uttam Nagar west, Delhi. It has an area of 680 sqft with a carpet area of 675 sqft . The property is available at a monthly rental of Rs. 9,800 . It is a semi-furnished property. It is facing north direction. It has 2 bathrooms and 2 balconies. It is situated in the proximity of all the important facilities. Kindly call us for details. "," 9,800",Semi-Furnished,2,BHK,680.0,114.27
Independent Floor ,Patel Nagar,Delhi,28.64595604,77.16685486,7000,INR,1.0,1.0,Not Negotiable,0.2,Posted an hour ago,"This spacious 1 bhk builder floor is available for rental and is located in the heart of Patel Nagar. It has an area of 400 sqft with a carpet area of 389 sqft . The property is available at a monthly rental of Rs. 7,000 . It is located on the 1st floor(out of a total of 4 floor(s)). It has gymnasium. Other amenities include hospital, school, rain water harvesting, jogging track and shopping mall. It is facing south direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Contact us for more details. "," 7,000",Semi-Furnished,1,BHK,400.0,81.62
